title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
Tab Hibernate,ammlihljcndoijbkoobiobhjgoopiidn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citationsy - Cite Websites and Papers,ananhmnkepfflgfdklgcdpgdngejokkn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverdale Wallpaper HD Custom New Tab,anbcclfmeaobpikkckdehninjmkgmcie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elink - Save Bookmarks and Create Content,ancooclifmcdfafbgjmgpmcembfaknka,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pubg HD Full HD New Tab,andmdenggfbcpbabkccebdkkiomfkbpa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmaSavings,andokbmfkopokkinpoodkhciomilhece,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponge bob New Tab & Wallpapers Collection,aneliafahndfjmidkggbojednoffbjnd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute Cursors,anflghppebdhjipndogapfagemgnlblh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One Click Translate,anhjddeakbabimdgmonfbnpbainknbfa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisco Webex Scheduler,ankblejcdieljecjfagjeoelaedaoaka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTA Crime Simulator,anlglpjmlmgipjefalopcpappmcoeppf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
